Designator,Mid X,Mid Y,Layer,Rotation
BZ1,126.90,-81.10,T,270.00
C1,186.90,-73.10,T,270.00
C2,188.65,-73.10,T,270.00
C3,135.15,-129.60,T,270.00
C4,145.25,-129.60,T,270.00
C5,155.15,-129.60,T,270.00
C6,126.65,-128.10,T,0.00
C7,182.30,-124.50,T,0.00
C8,109.30,-114.53,T,180.00
C9,112.67,-114.53,T,0.00
C10,190.00,-94.85,T,0.00
C11,186.62,-94.85,T,180.00
C12,192.30,-133.20,T,90.00
C13,122.10,-115.45,T,180.00
C14,122.10,-117.14,T,180.00
D1,120.15,-67.60,T,180.00
D2,154.65,-122.10,T,270.00
D3,134.65,-122.10,T,270.00
D4,164.65,-122.10,T,270.00
D5,144.65,-122.10,T,270.00
J1,104.65,-81.10,T,270.00
J3,110.97,-105.02,T,270.00
J4,110.97,-119.64,T,270.00
J5,190.30,-119.64,T,270.00
J6,188.33,-104.80,T,90.00
J9,197.25,-130.10,T,90.00
JP1,116.30,-91.42,T,270.00
JP2,181.65,-117.60,T,270.00
Q1,137.15,-87.38,T,0.00
Q2,122.65,-121.20,T,180.00
Q3,109.63,-130.23,T,270.00
Q4,175.56,-122.80,T,180.00
R1,139.65,-122.10,T,270.00
R2,149.65,-122.10,T,270.00
R3,159.65,-122.10,T,270.00
R4,134.15,-129.60,T,90.00
R5,144.15,-129.60,T,90.00
R6,154.15,-129.60,T,90.00
R7,178.49,-95.60,T,270.00
R8,181.03,-95.60,T,270.00
R9,152.65,-122.10,T,270.00
R10,132.65,-122.10,T,270.00
R11,140.68,-88.33,T,0.00
R12,162.65,-122.10,T,270.00
R13,137.15,-84.77,T,0.00
R14,142.65,-122.10,T,270.00
R15,110.05,-82.85,T,0.00
R16,110.05,-79.85,T,0.00
R17,107.39,-126.20,T,90.00
R18,122.40,-118.70,T,0.00
R19,107.38,-129.29,T,90.00
R20,122.45,-123.70,T,180.00
R21,193.85,-126.60,T,270.00
R22,192.25,-126.60,T,270.00
R23,172.80,-121.40,T,270.00
R24,179.20,-122.80,T,0.00
R25,158.17,-95.60,T,270.00
R26,163.25,-95.60,T,270.00
R27,168.33,-95.60,T,270.00
R28,173.41,-95.60,T,270.00
R29,160.71,-95.60,T,90.00
R30,165.79,-95.60,T,90.00
R31,170.87,-95.60,T,90.00
R32,175.95,-95.60,T,90.00
R33,140.39,-73.10,T,270.00
R34,142.93,-73.10,T,270.00
R35,145.47,-73.10,T,270.00
R36,148.01,-73.10,T,270.00
R37,173.41,-73.10,T,90.00
R38,160.71,-73.10,T,90.00
R39,153.09,-73.10,T,90.00
R40,150.55,-73.10,T,90.00
RV1,121.15,-126.38,T,270.00
RV2,183.15,-126.38,T,270.00
SW1,139.65,-129.60,T,180.00
SW2,149.72,-129.60,T,180.00
SW3,159.65,-129.60,T,180.00
U1,188.65,-81.10,T,270.00
