Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	SMD	Comment
"LED-R	"	"XL-502SURD	"	"LED-TH_BD5.9-P2.54-RD_RED	"	"70.815mm	"	"16.638mm	"	"70.815mm	"	"16.638mm	"	"72.085mm	"	"16.638mm	"	"T	"	"180	"	"No	"	"XL-502SURD	"
"LED-G	"	"333-2SYGD/S530-E2-L	"	"LED-TH_BD5.0-P2.54-FD	"	"50.815mm	"	"16.638mm	"	"50.815mm	"	"16.638mm	"	"49.545mm	"	"16.638mm	"	"T	"	"0	"	"No	"	"333-2SYGD/S530-E2-L	"
"LED-B	"	"MHL5013UBTD	"	"LED-TH_BD5.0-P2.54-L-RD_BLUE	"	"40.815mm	"	"16.638mm	"	"40.815mm	"	"16.638mm	"	"42.085mm	"	"16.638mm	"	"T	"	"180	"	"No	"	"MHL5013UBTD	"
"LED-Y	"	"MHL5013UYDYT	"	"LED-TH_BD5.0-P2.54-L-RD_YELLOW	"	"60.815mm	"	"16.638mm	"	"60.815mm	"	"16.638mm	"	"62.085mm	"	"16.638mm	"	"T	"	"180	"	"No	"	"MHL5013UYDYT	"
"R21	"	"Res_0603	"	"R0603	"	"62.038mm	"	"3.229mm	"	"62.038mm	"	"3.229mm	"	"62.791mm	"	"3.229mm	"	"T	"	"180	"	"Yes	"	"10K	"
"LED-RGB	"	"TJ-L5FCMXHMCSLCRGB-A5	"	"LED-TH_4P-BD5.8-P1.30	"	"30.815mm	"	"16.638mm	"	"30.815mm	"	"16.638mm	"	"32.765mm	"	"16.638mm	"	"T	"	"0	"	"No	"	"TJ-L5FCMXHMCSLCRGB-A5	"
"U1	"	"ESP32-S3-DevKitC-1	"	"ESP32-S3-DevKitC-1	"	"63.447mm	"	"60.645mm	"	"90.181mm	"	"60.645mm	"	"87.641mm	"	"72.075mm	"	"T	"	"270	"	"No	"	"ESP32-S3-DevKitC-1	"
"R1	"	"0402WGF3300TCE	"	"R0402	"	"72.085mm	"	"21.644mm	"	"72.085mm	"	"21.644mm	"	"72.085mm	"	"21.212mm	"	"T	"	"90	"	"Yes	"	"330?	"
"R2	"	"0402WGF3300TCE	"	"R0402	"	"52.085mm	"	"21.644mm	"	"52.085mm	"	"21.644mm	"	"52.085mm	"	"21.212mm	"	"T	"	"90	"	"Yes	"	"330?	"
"R3	"	"0402WGF3300TCE	"	"R0402	"	"42.085mm	"	"21.644mm	"	"42.085mm	"	"21.644mm	"	"42.085mm	"	"21.212mm	"	"T	"	"90	"	"Yes	"	"330?	"
"R4	"	"0402WGF3300TCE	"	"R0402	"	"62.109mm	"	"21.66mm	"	"62.109mm	"	"21.66mm	"	"62.109mm	"	"21.228mm	"	"T	"	"90	"	"Yes	"	"330?	"
"Q1	"	"2N7002_C8545	"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	"	"64.806mm	"	"23.478mm	"	"64.806mm	"	"23.478mm	"	"63.806mm	"	"24.428mm	"	"T	"	"180	"	"Yes	"	"2N7002	"
"R7	"	"0402WGF3300TCE	"	"R0402	"	"28.877mm	"	"21.644mm	"	"28.877mm	"	"21.644mm	"	"28.877mm	"	"22.077mm	"	"T	"	"270	"	"Yes	"	"330?	"
"S0	"	"2.54-1*3P?	"	"HDR-TH_3P-P2.54-V-M-1	"	"11.735mm	"	"70.627mm	"	"11.735mm	"	"70.627mm	"	"11.735mm	"	"68.087mm	"	"T	"	"90	"	"No	"	"2.54-1*3P?	"
